sample,Noncoding,alpha_IIIa_secreted_candidate,alpha_IIIb,alpha_IIIc,alpha_IIIc_truncated,alpha_truncated,beta_IIIa_secreted_candidate,beta_IIIb,beta_IIIc,dominant_negative_candidate,ultrashort_truncated
CDS-010xbm,19.879808,0.0,0.0,4.0822639999999994,0.0,0.0,0.0,2.302634,4.047474,0.0,0.0
CDS-02TzJp,359.416105,0.0,0.0,167.060074,0.326631,0.0,12.583454,14.844133,28.682126,0.0,8.848192
CDS-04NSe4,58.922526000000005,0.0,0.0,18.327462,0.083338,0.0,0.0,0.0,31.707962,0.0,10.410558
CDS-0693hw,3.612524,0.0,0.0,1.606839,0.0,0.0,0.0,0.65193,0.604024,0.0,0.0
CDS-07Plat,0.694087,0.0,0.0,0.476663,0.0,0.0,0.0,0.0,0.072064,0.0,0.0
CDS-08FOcu,29.854076000000003,0.0,0.0,12.490450999999998,0.0,0.0,3.399011,0.0,11.60653,0.0,5.1447069999999995
CDS-09EywZ,80.68772200000001,0.0,0.0,26.949456,0.048742,0.079115,0.0,1.085531,16.315490999999998,0.025281,8.372233
CDS-09izHL,1.9451280000000002,0.0,0.0,1.6064420000000001,0.0,0.0,0.0,0.0,1.18205,0.0,0.0
CDS-0BNTL7,0.03415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-0CqPRM,0.075811,0.0,0.043272,0.023211,0.0,0.0,0.0,0.0,0.084117,0.0,0.0
CDS-0EOjym,0.06530999999999999,0.0,0.0,0.089871,0.0,0.0,0.0,0.0,0.098604,0.0,0.0
CDS-0ERvMG,0.440647,0.0,0.0,0.265551,0.0,0.0,0.0,0.0,0.028713,0.0,0.0
CDS-0Jkjew,0.10556,0.0,0.0,0.247321,0.0,0.0,0.0,0.0,0.023873,0.0,0.0
CDS-0KXHWn,2.434932,0.0,0.0,0.316153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-0LsqIO,84.49786,0.0,0.0,65.14696199999999,0.175031,0.131752,0.0,4.598876,35.748293,0.0,9.449829999999999
CDS-0NliQM,0.023819,0.0,0.0,0.187944,0.0,0.0,0.0,0.0,0.0,0.0,0.064847
CDS-0OYkPE,0.316516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-0PME68,2.907358,0.0,0.0,2.899644,0.0,0.0,0.0,2.922101,4.015227,0.0,0.0
CDS-0QOXsy,91.559217,0.0,0.0,35.895692,0.0,0.105254,0.0,13.413262,11.351386,0.0,15.801200999999999
CDS-0UjViD,23.206404,0.0,0.0,10.209756,0.0,0.0,9.053908,0.0,7.405774,0.0,0.080278
CDS-0V43OE,5.147381,0.0,0.0,3.031272,0.0,0.0,0.0,0.457515,1.108399,0.0,0.0
